ffffac5e   // -21410
ffffac26   // -21466
ffffac17   // -21481
ffffabd6   // -21546
ffffabe4   // -21532
ffffabe4   // -21532
ffffac17   // -21481
ffffac17   // -21481
ffffac17   // -21481
ffffac12   // -21486
ffffac12   // -21486
ffffac12   // -21486
ffffac12   // -21486
ffffabca   // -21558
ffffabca   // -21558
ffffabca   // -21558
ffffabca   // -21558
ffffab88   // -21624
ffffab88   // -21624
ffffab88   // -21624
ffffabca   // -21558
ffffabca   // -21558
ffffabd0   // -21552
ffffac12   // -21486
ffffac12   // -21486
ffffac12   // -21486
ffffac21   // -21471
ffffac26   // -21466
ffffac26   // -21466
ffffac2b   // -21461
ffffac2b   // -21461
ffffac64   // -21404
ffffac64   // -21404
ffffac9f   // -21345
ffffac9f   // -21345
ffffac9f   // -21345
ffffac9f   // -21345
ffffac9f   // -21345
ffffaca4   // -21340
ffffacd6   // -21290
fffface4   // -21276
fffface4   // -21276
ffffad29   // -21207
ffffad6d   // -21139
ffffada3   // -21085
ffffada3   // -21085
ffffadb6   // -21066
ffffadea   // -21014
ffffadf9   // -20999
ffffadf9   // -20999
ffffae3b   // -20933
ffffae6a   // -20886
ffffae77   // -20873
ffffae77   // -20873
ffffae77   // -20873
ffffae77   // -20873
ffffae77   // -20873
ffffae6a   // -20886
ffffae6a   // -20886
ffffae6a   // -20886
ffffae6a   // -20886
ffffae65   // -20891
ffffae28   // -20952
ffffadf3   // -21005
ffffade1   // -21023
ffffad9e   // -21090
ffffad9e   // -21090
ffffad6d   // -21139
ffffad29   // -21207
fffface4   // -21276
ffffac9f   // -21345
ffffacae   // -21330
ffffacae   // -21330
ffffac6d   // -21395
ffffac2b   // -21461
ffffac1d   // -21475
ffffac1d   // -21475
ffffac1d   // -21475
ffffac1d   // -21475
ffffac17   // -21481
ffffac17   // -21481
ffffac17   // -21481
ffffac17   // -21481
ffffac17   // -21481
ffffac17   // -21481
ffffac17   // -21481
ffffac17   // -21481
ffffac12   // -21486
ffffac12   // -21486
ffffac08   // -21496
ffffac17   // -21481
ffffac1d   // -21475
ffffac2b   // -21461
ffffac5e   // -21410
ffffac5e   // -21410
ffffac4f   // -21425
ffffac4f   // -21425
ffffac1d   // -21475
ffffac4f   // -21425
ffffac17   // -21481
ffffac17   // -21481
ffffac17   // -21481
ffffac1d   // -21475
ffffac1d   // -21475
ffffac1d   // -21475
ffffac1d   // -21475
ffffac1d   // -21475
